id,clubs,clubs-href,players,players-href,full name,position desc,date of birth,nation,image-src,weight,height,rating,age,Aerial Ability,Aggression,Command of Area,Composure,Concentration,Control,Corners,Creativity,Crossing,Determination,Distribution,Dribbling,Finishing,Flair,Free Kicks,Handling,Leadership,Long Passing,Long Shots,Marking,Movement,One on Ones,Pace,Passing,Penalties,Positioning,Saving Penalties,Shot Stopping,Stamina,Strength,Tackling,Volleying,Work Rate,D(R),D(L),D(C),GK,DM(R),DM(L),DM(C),M(R),M(L),M(C),AM(R),AM(L),AM(C),F(R),F(L),F(C),right,left
157,Everton,https://en.soccerwiki.org/squad.php?clubid=31,"LENNON, Aaron",https://en.soccerwiki.org/player.php?pid=1863,Aaron Justin Lennon,Winger,16-Apr-87,England,https://cdn.soccerwiki.org/images/player/1863.jpg,63,165,88,29,0,0,0,0,0,0,6,0,0,3,0,8,0,2,1,0,0,0,0,0,9,0,7,0,0,4,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0
158,West Ham United,https://en.soccerwiki.org/squad.php?clubid=85,"OGBONNA, Angelo",https://en.soccerwiki.org/player.php?pid=21004,Angelo Obinze Ogbonna,Stopper,23-May-88,Italy,https://cdn.soccerwiki.org/images/player/21004.jpg,86,191,88,28,9,3,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,7,0,0,0,4,5,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159,Stoke City,https://en.soccerwiki.org/squad.php?clubid=75,"KRKIC, Bojan",https://en.soccerwiki.org/player.php?pid=29540,Bojan Krkic Pérez,Deep-Lying Forward,28-Aug-90,Spain,https://cdn.soccerwiki.org/images/player/29540.jpg,68,170,88,25,0,0,0,0,0,8,2,0,0,5,0,6,0,9,0,0,0,0,0,0,7,0,3,0,0,1,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,0
160,Stoke City,https://en.soccerwiki.org/squad.php?clubid=75,"IMBULA, Giannelli",https://en.soccerwiki.org/player.php?pid=50324,Giannelli Imboula Wanga,Ball-Winning Midfielder,12-Sep-92,France,https://cdn.soccerwiki.org/images/player/50324.jpg,77,183,88,23,0,0,0,0,0,0,8,0,0,5,0,0,0,2,1,0,0,0,0,0,4,0,7,10,0,3,0,0,0,9,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1
161,West Ham United,https://en.soccerwiki.org/squad.php?clubid=85,"CARROLL, Andy",https://en.soccerwiki.org/player.php?pid=21288,Andrew Thomas Carroll,Target Man,06-Jan-89,England,https://cdn.soccerwiki.org/images/player/21288.jpg,79,193,88,27,10,8,0,0,0,0,6,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,5,0,0,4,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
162,West Ham United,https://en.soccerwiki.org/squad.php?clubid=85,"CRESSWELL, Aaron",https://en.soccerwiki.org/player.php?pid=38626,Aaron William Cresswell,Wingback,15-Dec-89,England,https://cdn.soccerwiki.org/images/player/38626.jpg,66,170,88,26,0,0,0,2,0,10,0,0,8,0,0,0,0,0,6,0,0,0,1,0,0,0,3,9,0,0,0,0,5,0,4,0,7,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1
163,Crystal Palace,https://en.soccerwiki.org/squad.php?clubid=27,"TOWNSEND, Andros",https://en.soccerwiki.org/player.php?pid=38646,Andros Darryl Townsend,Winger,16-Jul-91,England,https://cdn.soccerwiki.org/images/player/38646.jpg,77,183,88,25,0,0,0,0,0,0,5,0,0,3,0,9,0,7,0,0,0,0,8,0,2,0,10,0,0,4,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1
164,Everton,https://en.soccerwiki.org/squad.php?clubid=31,"GUEYE, Idrissa",https://en.soccerwiki.org/player.php?pid=47094,Idrissa Gana Gueye,Ball-Winning Midfielder,26-Sep-89,Senegal,https://cdn.soccerwiki.org/images/player/47094.jpg,72,174,88,26,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0,8,0,0,4,10,5,2,9,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0
165,Sunderland,https://en.soccerwiki.org/squad.php?clubid=76,"DEFOE, Jermain",https://en.soccerwiki.org/player.php?pid=1868,Jermain Colin Defoe,Finisher,07-Oct-82,England,https://cdn.soccerwiki.org/images/player/1868.jpg,65,170,88,33,0,0,0,7,0,0,5,0,0,0,0,0,6,4,0,0,0,0,8,0,10,0,9,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,1,0
166,West Ham United,https://en.soccerwiki.org/squad.php?clubid=85,"NORDTVEIT, Havard",https://en.soccerwiki.org/player.php?pid=27398,Håvard Nordtveit,Ball-Winning Midfielder,21-Jun-90,Norway,https://cdn.soccerwiki.org/images/player/27398.jpg,85,188,88,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,0,10,0,0,3,5,0,6,0,7,4,9,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
167,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"VAN GINKEL, Marco",https://en.soccerwiki.org/player.php?pid=45480,Marco Van Ginkel,Box-To-Box Midfielder,01-Dec-92,Netherlands,https://cdn.soccerwiki.org/images/player/45480.jpg,82,186,88,23,0,0,0,0,0,0,2,4,0,3,0,0,0,1,0,0,0,0,0,0,5,0,8,0,0,6,0,0,9,7,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0
168,Middlesbrough,https://en.soccerwiki.org/squad.php?clubid=50,"DOWNING, Stewart",https://en.soccerwiki.org/player.php?pid=1160,Stewart Downing,Advanced Playmaker,22-Jul-84,England,https://cdn.soccerwiki.org/images/player/1160.jpg,64,180,88,32,0,0,0,0,0,0,2,9,8,4,0,0,0,0,1,0,0,0,0,0,3,0,10,0,0,5,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,0,1
169,Sunderland,https://en.soccerwiki.org/squad.php?clubid=76,"LENS, Jeremain",https://en.soccerwiki.org/player.php?pid=17051,Jeremain Lens,Wide Forward,24-Nov-87,Netherlands,https://cdn.soccerwiki.org/images/player/17051.jpg,73,178,88,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,1,0
170,Leicester City,https://en.soccerwiki.org/squad.php?clubid=41,"DRINKWATER, Danny",https://en.soccerwiki.org/player.php?pid=41138,Daniel Noel Drinkwater,General Midfielder,05-Mar-90,England,https://cdn.soccerwiki.org/images/player/41138.jpg,70,177,88,26,0,0,0,2,5,6,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,8,0,0,7,0,3,0,9,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0
171,Tottenham Hotspur,https://en.soccerwiki.org/squad.php?clubid=80,"VORM, Michel",https://en.soccerwiki.org/player.php?pid=5698,Michel Vorm,Keeper,20-Oct-83,Netherlands,https://cdn.soccerwiki.org/images/player/5698.jpg,84,183,88,32,0,0,0,0,0,0,3,0,0,8,10,0,0,1,0,0,0,0,0,0,2,0,6,0,0,4,0,9,0,7,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
172,Stoke City,https://en.soccerwiki.org/squad.php?clubid=75,"WOLLSCHEID, Philipp",https://en.soccerwiki.org/player.php?pid=44689,Philipp Wollscheid,Stopper,06-Mar-89,Germany,https://cdn.soccerwiki.org/images/player/44689.jpg,88,194,88,27,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,5,0,0,2,0,0,0,9,10,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
173,Liverpool,https://en.soccerwiki.org/squad.php?clubid=44,"MARKOVI?, Lazar",https://en.soccerwiki.org/player.php?pid=51618,Lazar Markovi?,Winger,02-Mar-94,Serbia,https://cdn.soccerwiki.org/images/player/51618.jpg,60,175,88,22,0,0,0,1,0,10,2,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,4,8,0,5,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,0,1,0
174,Liverpool,https://en.soccerwiki.org/squad.php?clubid=44,"KARIUS, Loris",https://en.soccerwiki.org/player.php?pid=53794,Loris Karius,Keeper,22-Jun-93,Germany,https://cdn.soccerwiki.org/images/player/53794.jpg,75,189,88,23,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,1,0,0,5,6,8,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
175,Manchester United,https://en.soccerwiki.org/squad.php?clubid=49,"ROMERO, Sergio",https://en.soccerwiki.org/player.php?pid=24138,Sergio Germán Romero,Keeper,22-Feb-87,Argentina,https://cdn.soccerwiki.org/images/player/24138.jpg,87,192,88,29,0,0,0,0,10,0,2,5,0,4,0,0,0,1,0,0,0,0,0,0,3,0,9,0,0,6,0,0,0,8,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,Arsenal,https://en.soccerwiki.org/squad.php?clubid=1,"COQUELIN, Francis",https://en.soccerwiki.org/player.php?pid=35509,Francis Coquelin,Ball-Winning Midfielder,13-May-91,France,https://cdn.soccerwiki.org/images/player/35509.jpg,74,178,88,25,0,0,0,0,0,0,2,4,0,3,0,0,0,1,0,0,0,0,0,0,5,0,8,0,0,6,0,0,9,7,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0
177,Stoke City,https://en.soccerwiki.org/squad.php?clubid=75,"JOHNSON, Glen",https://en.soccerwiki.org/player.php?pid=458,Glen Mcleod Cooper Johnson,Wingback,23-Aug-84,England,https://cdn.soccerwiki.org/images/player/458.jpg,85,181,88,31,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,0,7,0,5,0,9,0,0,2,0,0,6,8,0,0,10,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0
178,AFC Bournemouth,https://en.soccerwiki.org/squad.php?clubid=9,"GRADEL, Max",https://en.soccerwiki.org/player.php?pid=29438,Max-Alain Gradel,Wide Forward,30-Nov-87,Ivory Coast,https://cdn.soccerwiki.org/images/player/29438.jpg,70,177,88,28,0,0,0,0,0,0,6,0,0,4,0,9,0,2,1,0,0,0,0,0,3,0,8,0,0,5,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,0,1,0
179,Manchester City,https://en.soccerwiki.org/squad.php?clubid=47,"CABALLERO, Willy",https://en.soccerwiki.org/player.php?pid=17032,Wilfredo Daniel Caballero Lazcano,Keeper,28-Sep-81,Argentina,https://cdn.soccerwiki.org/images/player/17032.jpg,82,186,88,34,0,0,0,0,8,0,3,0,0,0,10,0,0,1,0,0,0,0,0,0,2,0,6,0,0,4,0,9,0,7,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,West Ham United,https://en.soccerwiki.org/squad.php?clubid=85,"ADRIÁN, San Miguel",https://en.soccerwiki.org/player.php?pid=63601,Adrián San Miguel Del Castillo,Keeper,03-Jan-87,Spain,https://cdn.soccerwiki.org/images/player/63601.jpg,80,190,88,29,2,0,8,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,4,0,0,3,5,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
181,West Ham United,https://en.soccerwiki.org/squad.php?clubid=85,"LANZINI, Manuel",https://en.soccerwiki.org/player.php?pid=45419,Manuel Lanzini,Advanced Playmaker,15-Feb-93,Argentina,https://cdn.soccerwiki.org/images/player/45419.jpg,64,170,88,23,0,0,0,4,0,10,0,9,0,0,0,8,3,7,0,0,0,1,2,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,1,0
182,Swansea City,https://en.soccerwiki.org/squad.php?clubid=77,"FABIA?SKI, Lukasz",https://en.soccerwiki.org/player.php?pid=13096,Lukasz Fabia?ski,Keeper,18-Apr-85,Poland,https://cdn.soccerwiki.org/images/player/13096.jpg,83,190,88,31,2,0,8,1,6,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,4,0,0,3,5,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,Arsenal,https://en.soccerwiki.org/squad.php?clubid=1,"PAULISTA, Gabriel",https://en.soccerwiki.org/player.php?pid=44589,Gabriel Armando De Abreu,Stopper,26-Nov-90,Brazil,https://cdn.soccerwiki.org/images/player/44589.jpg,76,187,88,25,0,8,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,0,5,0,10,0,0,2,0,0,9,7,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
184,Southampton,https://en.soccerwiki.org/squad.php?clubid=72,"RODRIGUEZ, Jay",https://en.soccerwiki.org/player.php?pid=31723,Jay Enrique Rodriguez,Wide Forward,29-Jul-89,England,https://cdn.soccerwiki.org/images/player/31723.jpg,69,185,88,27,0,0,0,0,0,0,5,0,0,3,0,7,9,2,0,0,0,0,0,0,8,0,4,0,0,1,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,3,1,0
185,Leicester City,https://en.soccerwiki.org/squad.php?clubid=41,"HUTH, Robert",https://en.soccerwiki.org/player.php?pid=454,Robert Huth,Stopper,18-Aug-84,Germany,https://cdn.soccerwiki.org/images/player/454.jpg,88,191,88,31,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,5,0,0,0,3,0,0,9,10,4,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
186,West Ham United,https://en.soccerwiki.org/squad.php?clubid=85,"OBIANG, Pedro",https://en.soccerwiki.org/player.php?pid=45990,Pedro Mba Obiang Avomo,Box-To-Box Midfielder,27-Mar-92,Spain,https://cdn.soccerwiki.org/images/player/45990.jpg,75,185,88,24,0,0,0,0,8,0,2,0,0,3,0,9,0,0,1,0,0,0,0,0,4,0,7,0,0,10,0,0,0,6,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0
187,Leicester City,https://en.soccerwiki.org/squad.php?clubid=41,"MENDY, Nampalys",https://en.soccerwiki.org/player.php?pid=45404,Nampalys Mendy,Ball-Winning Midfielder,23-Jun-92,France,https://cdn.soccerwiki.org/images/player/45404.jpg,68,168,88,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0
188,Everton,https://en.soccerwiki.org/squad.php?clubid=31,"DEULOFEU, Gerard",https://en.soccerwiki.org/player.php?pid=49202,Gerard Deulofeu Lázaro,Winger,13-Mar-94,Spain,https://cdn.soccerwiki.org/images/player/49202.jpg,73,179,88,22,0,0,0,0,1,2,0,5,4,0,0,8,0,0,0,0,0,3,0,0,9,0,7,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,1,0
189,Watford,https://en.soccerwiki.org/squad.php?clubid=83,"NYOM, Allan",https://en.soccerwiki.org/player.php?pid=46478,Allan-Roméo Nyom,Fullback,10-May-88,Cameroon,https://cdn.soccerwiki.org/images/player/46478.jpg,81,186,88,28,0,0,0,0,0,0,6,0,0,4,0,10,0,2,1,0,0,0,0,0,3,0,9,0,0,5,0,0,0,8,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
190,Swansea City,https://en.soccerwiki.org/squad.php?clubid=77,"TABANOU, Franck",https://en.soccerwiki.org/player.php?pid=41816,Franck Tabanou,Wingback,30-Jan-89,France,https://cdn.soccerwiki.org/images/player/41816.jpg,70,178,88,27,10,0,0,0,0,0,7,0,0,4,0,9,0,2,0,0,0,0,0,0,3,0,6,0,0,5,0,0,0,8,0,0,1,0,3,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,1
191,Stoke City,https://en.soccerwiki.org/squad.php?clubid=75,"BUTLAND, Jack",https://en.soccerwiki.org/player.php?pid=52644,Jack Butland,Keeper,10-Mar-93,England,https://cdn.soccerwiki.org/images/player/52644.jpg,95,196,88,23,0,0,0,0,0,0,4,0,0,3,0,0,0,2,0,0,0,0,0,0,5,0,9,0,0,6,0,10,1,8,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,Southampton,https://en.soccerwiki.org/squad.php?clubid=72,"DAVIS, Steven",https://en.soccerwiki.org/player.php?pid=50,Steven Davis,General Midfielder,01-Jan-85,Northern Ireland,https://cdn.soccerwiki.org/images/player/50.jpg,72,172,88,31,0,0,0,0,0,5,6,0,0,2,0,0,0,0,0,0,9,0,0,0,1,0,4,8,0,3,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0
193,West Bromwich Albion,https://en.soccerwiki.org/squad.php?clubid=84,"EVANS, Jonny",https://en.soccerwiki.org/player.php?pid=16050,Jonathan Grant Evans,General Defender,03-Jan-88,Northern Ireland,https://cdn.soccerwiki.org/images/player/16050.jpg,77,188,88,28,8,0,0,4,7,0,3,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,9,0,6,0,0,0,1,10,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
194,Everton,https://en.soccerwiki.org/squad.php?clubid=31,"BARRY, Gareth",https://en.soccerwiki.org/player.php?pid=47,Gareth Barry,Ball-Winning Midfielder,23-Feb-81,England,https://cdn.soccerwiki.org/images/player/47.jpg,78,183,88,35,0,0,0,3,8,10,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,7,0,0,6,0,9,0,5,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,1
195,Watford,https://en.soccerwiki.org/squad.php?clubid=83,"PRÖDL, Sebastian",https://en.soccerwiki.org/player.php?pid=20383,Sebastian Prödl,Stopper,21-Jun-87,Austria,https://cdn.soccerwiki.org/images/player/20383.jpg,92,194,88,29,10,0,0,0,9,0,7,0,0,4,0,0,0,1,0,0,0,0,0,0,3,0,6,0,0,5,0,0,0,8,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
196,Leicester City,https://en.soccerwiki.org/squad.php?clubid=41,"MORGAN, Wes",https://en.soccerwiki.org/player.php?pid=1266,Westley Nathan Morgan,Stopper,21-Jan-84,Jamaica,https://cdn.soccerwiki.org/images/player/1266.jpg,93,185,88,32,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,5,4,0,0,9,8,1,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
197,Manchester United,https://en.soccerwiki.org/squad.php?clubid=49,"SHAW, Luke",https://en.soccerwiki.org/player.php?pid=56409,Luke Paul Hoare Shaw,Wingback,12-Jul-95,England,https://cdn.soccerwiki.org/images/player/56409.jpg,75,185,88,21,0,0,0,0,0,0,6,0,0,4,0,10,0,2,1,0,0,0,0,0,3,0,9,0,0,5,0,0,0,8,0,0,7,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
198,Middlesbrough,https://en.soccerwiki.org/squad.php?clubid=50,"BARRAGÁN, Antonio",https://en.soccerwiki.org/player.php?pid=7239,Antonio Barragán Fernández,Fullback,12-Jun-87,Spain,https://cdn.soccerwiki.org/images/player/7239.jpg,83,186,88,29,0,6,0,0,2,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,1,7,9,0,10,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0
199,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"MOSES, Victor",https://en.soccerwiki.org/player.php?pid=31086,Victor Moses,Winger,12-Dec-90,Nigeria,https://cdn.soccerwiki.org/images/player/31086.jpg,75,177,88,25,0,0,0,0,0,0,6,0,0,4,0,8,0,10,1,0,0,0,0,0,3,0,7,0,0,5,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,1,1,1
200,Stoke City,https://en.soccerwiki.org/squad.php?clubid=75,"WALTERS, Jonathan",https://en.soccerwiki.org/player.php?pid=2080,Jonathan Walters,General Forward,20-Sep-83,Ireland,https://cdn.soccerwiki.org/images/player/2080.jpg,79,183,88,32,10,8,0,0,0,0,6,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,5,0,0,4,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,1,0
201,Stoke City,https://en.soccerwiki.org/squad.php?clubid=75,"SHAWCROSS, Ryan",https://en.soccerwiki.org/player.php?pid=29180,Ryan James Shawcross,Stopper,04-Oct-87,England,https://cdn.soccerwiki.org/images/player/29180.jpg,76,191,88,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202,Stoke City,https://en.soccerwiki.org/squad.php?clubid=75,"PIETERS, Erik",https://en.soccerwiki.org/player.php?pid=15282,Erik Pieters,Fullback,07-Aug-88,Netherlands,https://cdn.soccerwiki.org/images/player/15282.jpg,83,183,88,28,9,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,10,4,0,0,6,8,0,5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
203,Stoke City,https://en.soccerwiki.org/squad.php?clubid=75,"ALLEN, Joe",https://en.soccerwiki.org/player.php?pid=28701,Joseph Michael Allen,General Midfielder,14-Mar-90,Wales,https://cdn.soccerwiki.org/images/player/28701.jpg,62,168,88,26,0,0,0,0,0,0,8,0,0,5,0,0,0,2,1,0,0,0,0,0,4,0,7,10,0,3,0,0,0,9,0,0,6,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0
204,Crystal Palace,https://en.soccerwiki.org/squad.php?clubid=27,"BOLASIE, Yannick",https://en.soccerwiki.org/player.php?pid=37843,Yannick Bolasie,Winger,24-May-89,DR Congo,https://cdn.soccerwiki.org/images/player/37843.jpg,82,187,88,27,0,0,0,4,5,0,0,9,0,0,0,3,2,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,6,1,0,0,8,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,1,0
205,West Ham United,https://en.soccerwiki.org/squad.php?clubid=85,"VALENCIA, Enner",https://en.soccerwiki.org/player.php?pid=48745,Enner Remberto Valencia Lastra,General Forward,04-Nov-89,Ecuador,https://cdn.soccerwiki.org/images/player/48745.jpg,74,174,88,26,0,8,0,0,6,9,0,2,0,0,0,4,0,7,0,0,0,1,0,0,0,0,0,10,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,0
206,Chelsea,https://en.soccerwiki.org/squad.php?clubid=21,"DJILOBODJI, Papy",https://en.soccerwiki.org/player.php?pid=46164,Papy Mison Djilobodji,Stopper,01-Dec-88,Senegal,https://cdn.soccerwiki.org/images/player/46164.jpg,82,193,87,27,10,0,0,0,0,0,8,0,0,5,0,0,0,2,0,0,0,0,0,0,4,0,7,0,0,6,0,0,1,9,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
207,Middlesbrough,https://en.soccerwiki.org/squad.php?clubid=50,"VALDÉS, Victor",https://en.soccerwiki.org/player.php?pid=2756,Victor Valdés Arribas,Keeper,14-Jan-82,Spain,https://cdn.soccerwiki.org/images/player/2756.jpg,78,183,87,34,0,0,0,6,0,0,5,0,0,0,7,0,0,4,0,0,0,0,0,0,0,10,2,0,0,1,8,9,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
208,Sunderland,https://en.soccerwiki.org/squad.php?clubid=76,"BORINI, Fabio",https://en.soccerwiki.org/player.php?pid=41652,Fabio Borini,Wide Forward,29-Mar-91,Italy,https://cdn.soccerwiki.org/images/player/41652.jpg,73,180,87,25,0,0,0,0,0,0,4,6,0,3,0,0,0,2,0,0,0,0,0,0,9,0,8,0,0,5,0,0,1,7,0,0,10,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,1,0
209,Swansea City,https://en.soccerwiki.org/squad.php?clubid=77,"MONTERO, Jefferson",https://en.soccerwiki.org/player.php?pid=26299,Jefferson Antonio Montero Vite,Winger,01-Sep-89,Ecuador,https://cdn.soccerwiki.org/images/player/26299.jpg,65,172,87,26,0,0,0,0,0,0,6,0,8,3,0,9,0,2,0,0,0,0,0,0,4,0,10,0,0,1,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,1,3,3,0,1,1
210,Watford,https://en.soccerwiki.org/squad.php?clubid=83,"DJA DJEDJÉ, Brice",https://en.soccerwiki.org/player.php?pid=46152,Brice Dja Djedjé,Wingback,23-Dec-90,Ivory Coast,https://cdn.soccerwiki.org/images/player/46152.jpg,70,176,87,25,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,5,0,0,8,9,0,6,0,0,4,0,10,0,7,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0
211,Stoke City,https://en.soccerwiki.org/squad.php?clubid=75,"WILSON, Marc",https://en.soccerwiki.org/player.php?pid=22284,Marc David Wilson,General Defender,17-Aug-87,Ireland,https://cdn.soccerwiki.org/images/player/22284.jpg,80,188,87,28,0,0,0,0,10,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,5,3,0,0,6,9,0,8,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
212,Everton,https://en.soccerwiki.org/squad.php?clubid=31,"OVIEDO, Bryan",https://en.soccerwiki.org/player.php?pid=44590,Bryan Josué Oviedo Jiménez,Wingback,18-Feb-90,Costa Rica,https://cdn.soccerwiki.org/images/player/44590.jpg,70,172,87,26,0,0,0,0,0,0,6,0,8,0,0,10,0,1,0,0,0,0,0,0,3,0,5,0,0,2,0,0,0,7,9,0,4,3,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1
213,Crystal Palace,https://en.soccerwiki.org/squad.php?clubid=27,"JEDINAK, Mile",https://en.soccerwiki.org/player.php?pid=20834,Michael John Jedinak,Ball-Winning Midfielder,03-Aug-84,Australia,https://cdn.soccerwiki.org/images/player/20834.jpg,78,188,87,32,3,0,0,2,9,8,0,0,0,0,0,0,0,0,6,0,4,1,0,0,0,0,0,0,5,10,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0
214,Liverpool,https://en.soccerwiki.org/squad.php?clubid=44,"KLAVAN, Ragnar",https://en.soccerwiki.org/player.php?pid=5141,Ragnar Klavan,Stopper,30-Oct-85,Estonia,https://cdn.soccerwiki.org/images/player/5141.jpg,85,187,87,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
